Text,Action,Action_number,Label
"That McCormick was on the baseline, but I another great heads up play by Duane Harris. The number of LOB plays out of a timeout for Bill Self has got to be in the thousands at this point.",No action,0,0
"For Shackleford, that's so hard just to get the ball in. Betty Ocko has an idea and he thinker rolls it up and uses the back of the rim.",No action,0,0
"That should that is not at all what Frank Martin stands for, what he coaches, what he demands. And I think then they came in A3 game-winning streak with a lot of confidence.",No action,0,0
"Let obeagu fly by and then left it short ball still on the deck. And a beautiful diving effort, that time from Jackson scooped up by.",No action,0,0
"Kessler couldn't get to it. He knew he could blow by him. The question was, could you get a shot over him? And by using the rim, he could. Turn unblockable shot. It's not an unstoppable.",No action,0,0
"Tennessee showing zone for the first time, Ziegler stayed in. It was Fulkerson who left Coleman rejected by plot shifts, only his third block of the season for the seven footer.",No action,0,0
"Three from carries Long Warren tried to save it. Loose ball for Kohler, dives for it.",No action,0,0
"And kind of out of feeling that there is a good chance that he'll play. Saturday, I don't know all the protocols that usually 5 days.",No action,0,0
"Since twice last season and final is entered. And Reaves, his three won't go tipped around and controlled.",No action,0,0
They realize look and get better and I think both of these programs added guys who you know were were person.,No action,0,0
10 on the shot clock for the clones. Here's coots.,No action,0,0
And he signed and did pictures for every one of them and fans in both Carolina Blue and.,No action,0,0
"Probably not by design. That's one of those situations where, OK, Aikins down, we have to put in some stuff that isn't necessarily easier for our guys, but puts them in a more comfortable position without aching on the floor.",No action,0,0
Ohh little shove. A little disdain there by pop.,No action,0,0
Jackson lost it. And a foul call that'll be can.,No action,0,0
"But he just tied this this season high. Boy, that one just bounced right to watch the No look Jeffries takes it in, wave it off offensive foul.",No action,0,0
"Sure, I will say this. The pace is something that both teams probably have to pay attention to, but especially especially Seton Hall and.",No action,0,0
They are right now and a lot of it has to do with Caleb Love making plays off the bounce and taking up so much attention. But you see how easy it is to get the basketball inside to Bangkok when you have two guys double teaming love.,No action,0,0
"There it is. But Rojas seemed to get away with a foul. As Kessler ended up on the ground, he grabbed his arm.",No action,0,0
"Here's a double Adam Ziegler. , able to pick up the blocking foul? Well, it was a homecoming for Rick Barr.",No action,0,0
"If he sees wood, he's gonna take up that space. Whoa, Wendell. Green way outside Kessler. The board throws it up in in.",No action,0,0
"Arms says if you're gonna leave me open, I'm gonna shoot it, but he's off the mark with it.",No action,0,0
Short yeah. She's been short all night. I love the way they're pushing it. Spin move Brown got it. Yusufu has been a nice surprise for Bill Self.,No action,0,0
"There's 1443 points in 18 minutes. See if he's a hot hand tonight, but one of the things that coach Mcgees told us about earlier is leaky Black knocked down his second shot.",No action,0,0
"You gotta take away his left, but he can go the other way with a cross. Whaley shot that down.",No action,0,0
"By Bill Self, especially the way Yesufu is played in the backcourt. 6 minutes gone by in the second-half, Jackson lines it up and knocks it down.",No action,0,0
"They've been able to get to the last few times. We've had more turnovers than made buckets so far in the first half, shedrick counters. He's got a half dozen to go along with five boards.",No action,0,0
"Closing point guard with his ball, Parker. Then he's going against a a little bit of a worn out guard. Trying to get downhill and they do. They're gonna call that on.",No action,0,0
"Traffic. Too much traffic. Coleman lands the LOB. And a foul called on the floor. We have a timeout on the floor with 6:40 to go, we're back.",No action,0,0
"Them off the bounce, getting the ball. I mean they have taken. If you had a shot chart on this game, Mississippi State has warned them out.",No action,0,0
"It really keeps the dribble alive. Cool. Not a great shooter. Gonna be better though, Jackson.",No action,0,0
"But yet when they get that type production from the groomer, they could be a dangerous team. Love a long one off the back of the iron and jumping in for the rebound.",No action,0,0
With Kohler driving baseline.,No action,0,0
"But it doesn't have to be new, just has to be well executed. There's nothing new about a middle third screen and roll, and nothing new about that back screen.",No action,0,0
"Came in the first meeting, Donnie, that Georgetown felt they could have won. Now they trail here by 5:00 with 30 seconds, and here come the fouls for Georgetown. They'll just need one more.",No action,0,0
Rate is a great indicator of success for this Tennessee team. So you could try to pick up a charge. It was a blocking foul.,No action,0,0
Sign up today at espnplus.com/big 12. Now there's a steal by Brockington. And he lays it in.,No action,0,0
"He's been magnificent the last couple of games and 18 against LSU couple of games ago. Plot sheets inside, there's a size advantage and he was matched up with Gordon.",No action,0,0
Boy. Alexander.,No action,0,0
"Just another night in the Big 12. That one short, here comes Calshot.",No action,0,0
They russotto inbound again. Rolls it into champagne. He couldn't get a handle on it. That was a big mistake. Find him with two seconds. Bynum is.,No action,0,0
"Minaya brings it across Reeves, left alone for three. Watson, the offensive board he's found. So lots.",No action,0,0
"Worried to rest before minutes and not putting anymore foul on the starting bid. Williamson back into the lane, the one hander well short. Take.",No action,0,0
How do you stay in front of these guys? This is just click on quick now loops in their DNA and now Smith berries are free and it's all tigers tonight. They are rolling the tide.,No action,0,0
"Mathis cuts and the tough spot. I went to the hoop, counted and won. Aziah nowi.",No action,0,0
"You'd rather have it than not, but there's still plenty of time for Alabama. Good pass. Yes, it was. Betty Yako went straight up and he had Kessler battle.",No action,0,0
"One interesting note, they didn't double the post that time. That's normally a foregone conclusion with the Cavaliers, and the extra possession leads to a buck.",No action,0,0
"Pretty good box out there by Wendell Green, Junior. Smallest guy on the right path. Good luck, Williams. He got hacked. Keyon Ellis prevented a dunk.",No action,0,0
At James only 6 minutes and seven seconds in the first half. Chandler the steal.,No action,0,0
"Wheeler double figures in seven of his last eight, and you see how much better the St. John's has been more efficient here in the second-half. Give it up here, final three.",No action,0,0
"Keon's gotta take this on. They're all fixed. That's an easy block for Kessler, and it leads to KD to Flanagan.",No action,0,0
Blocking foul on Coleman.,No action,0,0
"Under salvation here at the young center. And of course, we know about the Louisville volleyball tradition because of.",No action,0,0
"When they gather, shooting the basketball is hot. As LL has has Davis and bankroll the followers, he taps it in.",No action,0,0
"Out of bounds, Jackson stepped on the line another Texas A and him turnover to 6th.",No action,0,0
"Smith sizing up, sizing up Gary to the hole he went to dunk that it was.",No action,0,0
"Both his shots off that right block, fading away. Those are difficult shots, but he's such a good juncture. They're good shots for him that he yako, and there's a foul on Kessler.",No action,0,0
Just dribble Martin for the lead. Look at this hustle. Ohh my goodness. Look at Martin in the middle of all of that scramble for it.,No action,0,0
"Being, you know, 40 years old, did it surprise you? He, I mean, he shared a number of plays with just with us and ideas that were banked in at the buzzer by Quentin Jackson.",No action,0,0
Car and Jones tried to trap him. He's able to get rid of it. Underneath Warren. The color comes crashing in. That is fowl.,No action,0,0
This was a two point game in this House. 510.,No action,0,0
"Run those things out of the middle of the floor. It is tough to stop screening roll unless you're foul him. Katie Johnson? That's off. How hard is it to design new place? Well, it doesn't have to be new.",No action,0,0
"Here is preseason freshman of the year Aminu Mohammed, and he gets the scoring started for Georgetown.",No action,0,0
"On the other end. These two teams, trading blows midway through the second-half, picked off and into the hand of Rodin.",No action,0,0
Workers had the hot hand. Five in the shot clock. Binding to the hoop and a tough shot. Tough play. Sharon final.,No action,0,0
Armando Bacot was excellent and savanna another great year with it. Beautiful screen role and great job by Jasper to set up pick.,No action,0,0
"But how about, you know, we saw that Duke North Carolina promo tonight against Louisville. Armando Bacot at 22 rebounds. There's not been a better, better player.",No action,0,0
They're fighting to stop the screens when they can. Yeah. They're doing so many things well. They stolen South Carolina's identity.,No action,0,0
"Tomorrow should post him if he's gonna attack him. Beakman floats it, Bickerstaff blocks it and shedrick slams it.",No action,0,0
He's #3 in the conference at 43% beyond that line. Across to the paints. Bake cod with the block.,No action,0,0
They set up a three and Gurley knocks that one down.,No action,0,0
"Betty Acco down low. So it's four on four on the perimeter. Yeah. Keon Ellis, a brick. And Betty Ocos foolishly picks up a foul. And Devan Cambridge had that basketball.",No action,0,0
"Try second, now missing his fourth consecutive game in concussion protocol. Gary puts in another a deep two and he's in double figures with 10.",No action,0,0
So no go on an island.,No action,0,0
"We need AJ to be playing well. Missed five games with the pinky injury, trying to get back in the flow. Speaking of flow, impressive there from Posh Alexander.",No action,0,0
"All all due respect to my former all Euro League friends, those are long distance use, common inside.",No action,0,0
"That's not like Al Gore that we've seen all year. Three early turnovers for the Friars Wheelers 3 won't go, and that's a bad sign of this team Forces 7.",No action,0,0
"Into the foul line is something neither team has done much of in this first half. Mohammed on the pull up, no rebound yetna.",No action,0,0
Loose. Mcculler.,No action,0,0
"Yeah, but other teams see that now. And the opposing coaches were saying, hey, you know how you beat a bully? You bully a bully. And that's what other teams are gonna try to do to Tennessee.",No action,0,0
Charge a little bit more hesitant to go in there and they settle for those long jump shots. Here's kadari. Richmond ran into Matumbo and took too many steps.,No action,0,0
Cross tied up just got the pass to Williamson. Both the front of the rim and cross will commit a foul. A bit of frustration.,No action,0,0
"Have to play the five spot until Tolouse Smith if and when he comes back, and it's interesting Garrison Brooks transfer from North Carolina to get away from being the five and become a four.",No action,0,0
"Clark's other end, Beekman, is blocked by Jayden Zachary.",No action,0,0
"Here's Hawkins. He's gotta get going for this team. Just what they needed. He plays well, John, as you know. The numbers prove it.",No action,0,0
"Jack Blacks at 4, but color takes a drag from the race and lays it in.",No action,0,0
Four to shoot. Right hangs. It hits.,No action,0,0
"Bill Covington with a great piece of officiating, but that could have been a foul on both players, man and a lot of iron. You can't fall.",No action,0,0
Tar Heels wanna push it? And coming off 100 points against NC State Bacon with a tough drive and draws the foul.,No action,0,0
"They came in today, yeah, didn't they? Well, Joe Lunardi has Mississippi State as.",No action,0,0
"Other than that, South Carolina laws, they were the underdogs and but you're still trying to figure out exactly how serious to take them. They have no quad one wins with this being an opportunity right in front of you.",No action,0,0
"Here's a J Reeves. Poked away by posh. Mantis Matthews goes to the floor, hands off to Alexander for two.",No action,0,0
"With TJ Shannon injured most of the season? Paris. Ohh man, have they used the backboard tonight, friend. That's deja vu all over again.",No action,0,0
"In the Ryan caught runner. Extra pants to the corner, kauluma. Really nice set offensively though.",No action,0,0
And then you gotta start your you gotta start falling soon. Tried to get one there. Clark breaks it. He runs some clock and a foul from Makai Ashton Langford.,No action,0,0
"Just calling for it, yeah, they're trying to get it. Post wants to get in touch in the post. They got both of the centers in the game now. And passing with one another and karnick scores again.",No action,0,0
Kim Jabari Smith missed to everything and Walker Kessler down low. How many dunks do you have tonight? Smith's first shot was contested.,No action,0,0
"He thinks he's getting beat up in there, though, but one thing he can't do is continue to make a show of it. As you see here, Bill Covington having a conversation.",No action,0,0
Here's South Carolina. You mentioned they run. They're gonna push it. Ohh wide open Josh Gray got blocked from behind Matthews.,No action,0,0
"A couple more minutes and see what Mississippi State does with it. Underneath, tap back in.",No action,0,0
"Watch them spread the floor now. Ohh, he's got it. Great play by Brown. And he delivers.",No action,0,0
Competitor. I think he's a very competitive guy that's gonna win his matchup. You see right there setting a physical screen. There's so many things he does.,No action,0,0
Mississippi State making all those shots hasn't allowed South Carolina to run a bit of the half court here on the offensive side. Bryant bit of a force. There was nothing there.,No action,0,0
"She has got tremendous springs in his legs. There's no guard that jumps higher than he does green. Good bounce, pass hard well off the window. He was huge in that first meeting when Kessler was in foul trouble.",No action,0,0
"Jackson with seven, Jackson for the tie and he's way off.",No action,0,0
"Beer 4, Louisville. What shovels it up there? Really battled for the second effort but came up empty.",No action,0,0
"Early drag. Nice look, very simple. Took off Brenner. That is tough to defend. The weak side gotta be really alert on the road.",No action,0,0
"In that win against Texas A&M, you starting to get right this year, settle into a rhythm. Yeah, he he keyshawn Brian's at his best operating around that baseline as they cut her out of the corner.",No action,0,0
Karnak has a lot of strength in the post for BC and he's got 16 great hello with Quentin Post. What a catch. And then he puts it in.,No action,0,0
"He's a real guy. He's authentic, you know, he, Frank Martin, does not let his guys off the hook for one day for one possession as a result.",No action,0,0
"Well, back stream to get Jabari Smith into the post, and there's Kessler with those long arms and the deflection 2 on one Johnson. He lays it up and Anna quick start for the Tigers.",No action,0,0
And I've lost count of how many times The Jayhawks offense have used the backboard tonight. Ohh yeah. Another two point jump shot from Isaiah Brockington. He has 14.,No action,0,0
"Speaking of efficiency at this, we get a lot of really great stories from Frank in a short amount of time. Like he's a really good storyteller. Good basketball stories from his career. There's a tie up underneath.",No action,0,0
"You know when you have these protocols and you have these, these COVID situations, the Big East, they're doing the best they can to make sure their teams get the games enough games in.",No action,0,0
"But nobody got it for Auburn, so Alabama picks it up. Nellis keeps firing. That's short.",No action,0,0
Five games in 10 days is difficult for any team. NBA teams don't play that many games in 10 days. Jayden Gardner is into double figures with 10.,No action,0,0
"He had missed his last 19 threes and of course that one goes down. That's all it takes. You just went as a shooter, just want to see the ball going to basket, Armon Franklin counters for Virginia.",No action,0,0
"And now moving up with it. Just make him use a little clock. Gotta go train in the double penalty call. Takes a bump, he hits Dan Hurley, uses his final timeout.",No action,0,0
"Well, Andrew pops Alexander, as you mentioned already 10 points, a very good sign for St. John's in the last two years when he hits double figures. The Red Stormer 21 and 8. And good nugget there as Croswell.",No action,0,0
Shot clock down to 7:00 tonight. We'll put up A3 and champagne returns with the rebound. He was a 38% career shooter at Indiana.,No action,0,0
"What Alabama has done, and you can hear behind us how quiet it is taking the cloud out of it, is that Betty Yako was there, his second block.",No action,0,0
"Whether he will goes one or two or three. Under green Mr 3, there's gonna be a foul down on this end.",No action,0,0
"And now, another opportunity for the cars to take a lead. Ella's launching, yeah.",No action,0,0
"Working that thing inside in the on this floor, which is the unpainted part of the floor. There they go again. Brooks leaves it short. It's just a complete contrast from a few days.",No action,0,0
"Players that they they need that practice time almost, to kind of get a reset. Rich man off the heel and it rattles home first bucket in nearly two minutes to start for the pirates.",No action,0,0
"Shackleford and ohh. That's tipped in by Gary Duke Kessler away from the rim, which opened it up for Gary.",No action,0,0
"That's great Georgetown defense. Understanding there's no real point guard out there and they can't pay it off at the other end, this is what Seaton Hall needs to do.",No action,0,0
"Richmond's doing a great job, but I don't think he's a true point guard by nature. Kale left open. He puts it in.",No action,0,0
That's a big play by Cardwell that led to the easy basket because he did something really hard. Lee goes to 18 and on the floor.,No action,0,0
"O'Connell off to Hawkins. He's been that steady presence, but Jackson would not let him have it. That still fell in for Ryan Hawkins.",No action,0,0
"Well, how about the job that Auburn has done in keeping Alabama out of transition? That was a big part of Auburn's game plan.",No action,0,0
Six of their last nine shots. Seton Halls made their last three. Jackson again and does it from the right side. back-to-back. Triples for trade. Jackson.,No action,0,0
"From one to another, now, Beekman. The lab's too tall for Jayden Gardner.",No action,0,0
"Maybe Johnson with 10 on the shot clock. He throws it up no good. And that time Betty Yakov, box block tester out and Auburn gets.",No action,0,0
Now Mitch Lightfoot is checked in for Bill Self. 10 on the shot clock for The Jayhawks. Common lands and that's not gonna count.,No action,0,0
"We talked right at the top about the importance of Texas, how they would handle the 1st 5 or 6 minutes, how they handled it.",No action,0,0
As soon as Williams saw the double passes out deep 3. I'll tell.,No action,0,0
One of only two major conference players to be in the top three in their conference in points and rebounds. And there's James. Jalen Coleman lands with the three pointer.,No action,0,0
They're banging up against each other and he made the shot and took a foul. But they're going to.,No action,0,0
That's our two seconds to inbound the ball and try to get a shot off. They get it down low and they're gonna get a foul just on hold.,No action,0,0
"During his playing days. And no, no one for giving out silver dollars. I I've actually.",No action,0,0
"We was just such a big part of their win over Baylor. Coming out that last time out, we had a shot of Sunni leader. Yeah, great Olympic gymnast.",No action,0,0
"And I love how he comes out. Everything's positive. Just take a quick break. You know? Not upset with him. It was a foul. But wow, look at that. Sometimes you need a little luck.",No action,0,0
Game effort for The Jayhawks without Ochi Abaji tonight and no Remy Martin to boot. Still suffering from that knee injury? There's calcium left alone underneath.,No action,0,0
Averaging eight points per game for Rutgers. And horchler with the rebound.,No action,0,0
"Alexander on the attack, hands off wheel. Over Noah and the foul.",No action,0,0
"They're not bowling. Well, you actually don't have to foul the Ellis comes away with the theft and he will let it in.",No action,0,0
Tennessee Forbes 6 to start this game. And Huntley Hatfield in the game when they got him for a push off.,No action,0,0
"And even trying to play too slow, they just they they found a nice pace you know they talked about it you know against Marquette, St. John's, you know try to play fast and they tried to play so this is.",No action,0,0
"And DC, known as one of the birth places of black basketball, the grandfather of black basketball Edwin Henderson, credited with being the first to introduce hoops. Yeah, into the black community right here in washing.",No action,0,0
"Superhero with that thing on, you used to look like a. A dork, back in the old days.",No action,0,0
Brockington too strong? And McCormick secures it. That file is gonna go on trade Jackson three if this can hold on and close this one out.,No action,0,0
69 and. Knows how to get his shot off in traffic of great value as kind of an undersize.,No action,0,0
Did you think high percentage looks 47% from the field shooting as a team this year that's top 35 in the nation. You know that is Keyshawn Bryant's game. That's his range and the senior from Florida is on the board.,No action,0,0
"They are, they are Mississippi State. Really good in the mid range stuff, as you can tell. They work on it, man. Off a 2 feet. They stay on balance. There's a good look. Yeah. Trayvon Minot.",No action,0,0
"That's what Ed Cooley told us. We may not have a surefire lottery pick, but on any given night, any one of our guys can beat you.",No action,0,0
Mitchell spins to the left hand. Nice.,No action,0,0
Christian Brown has chipped in with 13 quietly. Yeah. Brockington now with 22.,No action,0,0
Auburn puts 100 up and they beat Alabama 100 to 81 to sweep the season.,No action,0,0
"Wendell Green is in the game. Winter league. It's in the paint, knocks it down. It's the quarterly and Shackleford show.",No action,0,0
"Have, can can continued to put forth 100% effort not just in games, but in practice. Big Time 3 point Shot falls for road and that's his second trip.",No action,0,0
"I mean, the ball has to not just stay in one guy's hand. That's a terrific play there. Drive, kick it. I just don't know if you can continue to to drive.",No action,0,0
"But look out. Well done because at the end of games he's been spectacular. Could not get that one to go mania. The offensive rebound pulls her back. Right back in at Wheeler Mania, around Wheeler for two.",No action,0,0
Now he's playing more off the ball with RJ Davis playing in the point guard position and I see Caleb oftentimes settling.,No action,0,0
"They cannot let their kids start knocking down threes, finding men transition right now, tagging with size like Jeffries making put her on the floor. That's yeah.",No action,0,0
"He didn't let you off the hook. You don't want to play hard. Just have a seat tonight. Yeah, that's a no. No. So it's cool start Wilson and while blocking foul.",No action,0,0
"Well, back to Bangkok. He wants to touch every time down that won't go down. Love the aggressiveness though, I mean many times through.",No action,0,0
"They beat a couple of quality teams of the non conference like Richmond. Watts for three, yes.",No action,0,0
Was on and he doesn't look back. This kid has improved so much and he's so close to that next step.,No action,0,0
Pretty soon. Becomes a double on Jayden Gardner passes out of it. And Reese Beakman was out on the sideline.,No action,0,0
"Those long rebounds? Alabama's a really good offensive rebounding team. Not because they grab him by the rim, they get the long ones. Green. Yes, he hits the net.",No action,0,0
We've kind of been in similar shoes. And then there's Bruce Pearl. He cares so much about his players and the free play style he told. 7.,No action,0,0
"The Cardinals falling to Duke here on Saturday, 74 to 65. A battle for the rebound. And that's gonna go the other way.",No action,0,0
"Good luck beating Reese Beakman off the bounce. He forced his guys into shots like that. Yeah, like I said, I think he's the best on ball defender in the league.",No action,0,0
"Arms drives too strong off the glass, Bishop Yanks down the board.",No action,0,0
Jamir Harris is now checked into the ball game for Seton Hall and Kevin Willard told us he would rely a little bit more on Harris now to run the show and give a break to Kadari Richmond.,No action,0,0
"The same chance defense there. You know, St. John's doesn't have a shot blocker this year and one of the things I could tell you when you play them, if you're able to handle the pressure.",No action,0,0
Harris on the blow by taking it right past Tyrese Samuel.,No action,0,0
"In the first half, almost a double. Double in the first half, a little following here and knocked in by Davis and that's the end of the first half, North Carolina.",No action,0,0
"You know Ziegler, who was so great late in the game against Texas. This play has Alyssa talking about from the defensive standpoint, but really offensive and sparked Tennessee.",No action,0,0
"Mississippi State a perfect four for four from the field to start this game. Yeah, high percentage looks. This has been a high perch.",No action,0,0
Shot clock at 9. Davis over the top for bankot and chipped out.,No action,0,0
"This is the Mississippi State team. I you know, I got some last Tuesday in Rupp. Gave Kentucky everything they could handle. The same Kentucky team that went into Allen Fieldhouse.",No action,0,0
Galloway driving. He's blocked by shedrick great and!,No action,0,0
"Quinerly block. That's Kester again, and it's starting to get away from Alabama here on the road.",No action,0,0
"They do get 95% of the calls, right? That's not guessing. Here's the turnover. Brockington. Nice pass. Enough to grill.",No action,0,0
"There was ward. It was able to block that. They had a short clock Texas, but Nice defense as usual from tech.",No action,0,0
Aaron pass. With five to shoot. And make that four straight Kansas turnovers.,No action,0,0
"This evening for James Reese. That's his second miss, though. He's three of five from the field, seven points. He's gonna try the three this time.",No action,0,0
"In Tennessee leads by 8 Williams no Dane. I think it's always interesting. We talk about who starts a game. We talked, talked.",No action,0,0
In and out. Long Pass Febris lets the defender go by and lays it in.,No action,0,0
Pretty he loves that little.,No action,0,0
"There's nothing wrong with being the psychopath. It's only if you get caught. It's not such a negative connotation, right? There's an and Gillian Cardwell steps into it.",No action,0,0
"Alabama can make challenge shots, and that was a challenge shot from a guy who's coming off a 20 point game against Baylor, Devon Quinerly.",No action,0,0
"2nd foul on Johnson Quinerly has a lane, Ohio over kessner. What a shot Javon Quinerly, who finished the first half one of seven.",No action,0,0
"See if you can get Louisville to switch. Ellis got the pass in the air for Caria, dribble down and the other side.",No action,0,0
This big crowd smelling a wind. And. Black from Warren but. He does pick up for how.,No action,0,0
"After position tonight and may even turn to the 611 game, WIZNITZER has only played in four games all season long, Bacot with the rebound.",No action,0,0
And make it 4 out of five Henderson with the offensive rebound.,No action,0,0
"It's 2-3 zone has been effective. You know, finally got one behind an overcasting Rojas. Laid it up and in.",No action,0,0
"3% and he's three or four from deep tonight. Ohh. He started his career problems like one for 25. Yeah, something from the three-point line.",No action,0,0
